,mr_is_curve,mr_is_oneway,mr_has_delimiter,mr_sidewalk_delimiter,mr_left_sidewalk,mr_right_sidewalk,cw_before_intersect,cw_after_intersect,cw_left_intersect,cw_right_intersect,cw_on_mainroad,srl_exists,srr_exists,sr_ends_mr,num_left_lanes,num_right_lanes,mr_rotation,srr_width,srr_dist,srl_width,srl_dist,mr_delimiter_width,cw_on_mainroad_dist,mr_sidewalk_delimiter_width,mr_curve_radius,mode,seq,frame,mr_num_lanes,sideroad,mr_sidewalk
0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,0,1,none,both
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,1,1,none,both
2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,2,1,none,both
3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,3,1,none,both
4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,4,1,none,both
5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,5,1,none,both
6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,6,1,none,both
7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,7,1,none,both
8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,8,1,none,both
9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,train,2011_09_26_drive_0009_sync,9,1,none,both
